name,city_clean,city_tier,location,cusine,rating,votes,cost_for_two,price_tier,has_online_order,has_table_booking,delivery_only,anom_iqr_cost,anom_zscore_cost,anom_isoforest,operational_risk
Food Village,Kolkata,Tier 1,Baranagar,North Indian,2.8,355,650.0,Mid-range (300-700),True,False,False,False,False,False,True
Black Paper,Delhi NCR,Tier 1,"Sector 34, Noida","North Indian, Chinese",2.8,6,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Punjabi Wok,Delhi NCR,Tier 1,Ashok Vihar Phase 1,"North Indian, Chinese",2.7,59,700.0,Premium (700-1500),True,False,False,False,False,False,True
The Real Heavens,Delhi NCR,Tier 1,"Sector 51, Noida","North Indian, Chinese",2.5,34,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Patiala Food Factory,Delhi NCR,Tier 1,"Sector 23, Dwarka",North Indian,2.9,61,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Piyali Restaurant,Kolkata,Tier 1,Dum Dum,"North Indian, Bengali, Chinese, Seafood",2.6,129,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Tulsi,Mumbai,Tier 1,Kandivali West,"Chinese, Italian, Fast Food",2.5,604,700.0,Premium (700-1500),True,False,False,False,False,True,True
O Zone Restaurant & Bar,Kolkata,Tier 1,Baguihati,"North Indian, Chinese",2.8,37,1200.0,Premium (700-1500),False,False,False,True,False,True,True
Duke Bar & Restaurant,Kolkata,Tier 1,Chandni Chowk,"Chinese, North Indian",2.9,59,600.0,Mid-range (300-700),False,False,False,False,False,False,True
Rajinder Ka Dhaba,Delhi NCR,Tier 1,"Sector 7, Dwarka","North Indian, Chinese",2.5,261,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Madras Coffee House,Delhi NCR,Tier 1,Connaught Place,"North Indian, South Indian, Chinese",2.0,304,750.0,Premium (700-1500),False,False,False,False,False,True,True
Mughal Flavour's,Mumbai,Tier 1,Kurla,"Mughlai, North Indian, Chinese",2.5,135,600.0,Mid-range (300-700),True,False,False,False,False,True,True
PePizza,Delhi NCR,Tier 1,Gurgaon (Gurugram),Pizza,2.6,278,700.0,Premium (700-1500),True,False,True,False,False,True,True
Kailash Parbat,Mumbai,Tier 1,Khar,"North Indian, South Indian, Chinese, Street Food",2.7,193,1000.0,Premium (700-1500),True,False,False,True,False,True,True
Biryani Chronicles,Delhi NCR,Tier 1,DLF Phase 3,"Biryani, Mughlai",2.9,54,700.0,Premium (700-1500),True,False,False,False,False,False,True
Dhaba by Eleven Chefs,Delhi NCR,Tier 1,DLF Phase 4,"North Indian, Mughlai",2.9,131,600.0,Mid-range (300-700),True,False,True,False,False,False,True
Garage,Delhi NCR,Tier 1,Rajouri Garden,"North Indian, Chinese",2.8,25,650.0,Mid-range (300-700),False,False,False,False,False,False,True
Cake 24x7,Delhi NCR,Tier 1,DLF Phase 3,Bakery,2.8,112,800.0,Premium (700-1500),True,False,False,False,False,False,True
Hot Pot,Delhi NCR,Tier 1,"Sector 11, Dwarka","Chinese, Momos",2.3,62,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Aqua Grill by the Poolside - Pride Plaza Hotel,Delhi NCR,Tier 1,Aerocity,"Continental, North Indian",2.9,9,4000.0,Luxury (1500+),False,False,False,True,True,True,True
Family Chicken,Kolkata,Tier 1,New Town,"Korean, Chinese, Fast Food",2.7,30,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Chaplin Chinese Restaurant,Kolkata,Tier 1,Sinthi,Chinese,2.3,103,550.0,Mid-range (300-700),True,False,False,False,False,True,True
Kamats,Delhi NCR,Tier 1,"Sector 14, Gurgaon",South Indian,2.9,36,700.0,Premium (700-1500),True,False,False,False,False,False,True
Seven Heaven,Kolkata,Tier 1,Camac Street Area,"Chinese, Mughlai",2.8,22,800.0,Premium (700-1500),False,False,False,False,False,False,True
Commodore,Delhi NCR,Tier 1,Vaishali,"North Indian, Chinese, Continental",2.9,30,800.0,Premium (700-1500),False,False,False,False,False,False,True
Spice Garden,Kolkata,Tier 1,Barrackpore,"Chinese, North Indian",2.7,29,800.0,Premium (700-1500),False,False,False,False,False,False,True
Aap Ki Rasoi,Delhi NCR,Tier 1,"Sector 39, Gurgaon","Chinese, North Indian",2.9,10,550.0,Mid-range (300-700),False,False,False,False,False,False,True
Toy Room - Aloft Hotel,Delhi NCR,Tier 1,Aerocity,"Finger Food, Bar Food",2.2,133,3000.0,Luxury (1500+),False,False,False,True,True,True,True
Night Queen's,Kolkata,Tier 1,Esplanade,"Chinese, North Indian",2.8,11,1300.0,Premium (700-1500),False,False,False,True,False,True,True
Jalshaghar,Kolkata,Tier 1,Ruby Hospital Area,"North Indian, Chinese",2.5,49,700.0,Premium (700-1500),False,False,False,False,False,True,True
Marlin Restaurant cum Bar,Kolkata,Tier 1,Garia,"North Indian, Chinese",2.9,45,900.0,Premium (700-1500),False,False,False,False,False,False,True
The Shaf's Lounge,Kolkata,Tier 1,Sodepur,"Italian, Chinese, North Indian, Burger, Beverages",2.6,75,700.0,Premium (700-1500),False,True,False,False,False,True,True
Patiala Shahi Zaika,Delhi NCR,Tier 1,DLF Phase 3,"Chinese, North Indian, Mughlai",2.8,4,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Maniac,Kolkata,Tier 1,Desapriya Park,"Cafe, North Indian, Chinese",2.5,87,550.0,Mid-range (300-700),False,False,False,False,False,True,True
M.D. Kitchen,Delhi NCR,Tier 1,INA,"North Indian, Mughlai, Chinese, South Indian, Momos",2.9,203,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Treats,Kolkata,Tier 1,Kasba,"North Indian, Chinese",2.9,85,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Crest,Kolkata,Tier 1,Park Circus Area,"North Indian, Chinese",2.7,40,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Desi Express,Kolkata,Tier 1,Elgin,"North Indian, Fast Food",2.7,21,550.0,Mid-range (300-700),True,False,False,False,False,False,True
Grab Chinese,Delhi NCR,Tier 1,Sushant Lok,"Chinese, Momos",2.7,12,550.0,Mid-range (300-700),True,False,True,False,False,False,True
D Sapphire Restaurant,Kolkata,Tier 1,Kaikhali,"Chinese, Kebab, Mughlai, North Indian",2.8,228,600.0,Mid-range (300-700),True,False,False,False,False,False,True
New Step Inn,Kolkata,Tier 1,New Alipore,"Chinese, North Indian, Seafood",2.9,46,700.0,Premium (700-1500),True,False,False,False,False,False,True
Nandan Bar & Restaurant,Kolkata,Tier 1,Baranagar,"Chinese, North Indian",2.8,20,600.0,Mid-range (300-700),True,False,False,False,False,False,True
De Forbidden Lounge,Delhi NCR,Tier 1,Janakpuri,Finger Food,2.5,26,2400.0,Luxury (1500+),True,False,False,True,True,True,True
Green Hut,Delhi NCR,Tier 1,Udyog Vihar,"North Indian, Chinese, Fast Food",2.8,25,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Club Escape,Mumbai,Tier 1,Veera Desai Area,Finger Food,1.8,411,2000.0,Luxury (1500+),False,True,False,True,True,True,True
Horn OK Please,Kolkata,Tier 1,Belghoria,"North Indian, Chinese",2.9,5,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Kaleidoscope Multicuisine Restaurant,Kolkata,Tier 1,New Alipore,Chinese,2.9,59,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Hungry Owl,Delhi NCR,Tier 1,South Extension 1,"North Indian, Chinese, Fast Food",2.9,44,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Dilli Darbar,Delhi NCR,Tier 1,Janakpuri,"North Indian, Chinese",2.4,144,1200.0,Premium (700-1500),True,False,False,True,False,True,True
Barbeque Creation By Kadhai Tadka,Delhi NCR,Tier 1,Rajinder Nagar,"North Indian, Chinese, Mughlai, BBQ",2.5,104,800.0,Premium (700-1500),False,False,False,False,False,True,True
Biryani by Nizams,Delhi NCR,Tier 1,North Delhi,"Kebab, Mughlai",2.8,35,650.0,Mid-range (300-700),True,False,True,False,False,False,True
24hourcake&flower.com,Delhi NCR,Tier 1,South City 2,"Bakery, Fast Food",2.8,4,600.0,Mid-range (300-700),True,False,True,False,False,False,True
Fusion,Kolkata,Tier 1,Hatibagan,"North Indian, Chinese",2.5,617,600.0,Mid-range (300-700),True,False,False,False,False,True,True
Yakka's Family Restaurant,Delhi NCR,Tier 1,Vaishali,"North Indian, Chinese, South Indian",2.6,12,900.0,Premium (700-1500),True,False,False,False,False,True,True
The Chef,Delhi NCR,Tier 1,Vasundhara Enclave,"North Indian, Chinese, Mughlai",2.8,19,650.0,Mid-range (300-700),False,False,False,False,False,False,True
Chination,Delhi NCR,Tier 1,Raj Nagar,Chinese,2.9,5,600.0,Mid-range (300-700),True,False,True,False,False,False,True
Banalata,Kolkata,Tier 1,Science City Area,"Italian, Chinese, North Indian, South Indian",2.8,9,700.0,Premium (700-1500),False,False,False,False,False,False,True
Pizza Loca,Delhi NCR,Tier 1,Rajouri Garden,Pizza,2.9,4,600.0,Mid-range (300-700),True,False,False,False,False,False,True
Dimple Bar Restaurant,Delhi NCR,Tier 1,Karol Bagh,"North Indian, Chinese, Mughlai",2.5,24,1400.0,Premium (700-1500),True,False,False,True,False,True,True
EXOTIC CAFE,Delhi NCR,Tier 1,Paharganj,"Chinese, Tibetan, Thai",2.9,18,600.0,Mid-range (300-700),True,True,False,False,False,False,True
Sindhudurg,Mumbai,Tier 1,Vile Parle East,Seafood,2.7,103,600.0,Mid-range (300-700),False,False,False,False,False,False,True
