city_clean,city_tier,total_restaurants,avg_rating,avg_cost
Delhi NCR,Tier 1,38699,3.52,454.0
Mumbai,Tier 1,25692,3.51,496.0
Bengaluru,Tier 1,20283,3.61,441.0
Pune,Tier 1,15430,3.45,449.0
Hyderabad,Tier 1,12393,3.46,410.0
Chennai,Tier 1,11917,3.46,414.0
Kolkata,Tier 1,9571,3.46,406.0
Ahmedabad,Tier 1,6432,3.46,387.0
Jaipur,Tier 2+,5367,3.45,480.0
Chandigarh,Tier 2+,4278,3.47,452.0
Lucknow,Tier 2+,3822,3.45,394.0
Goa,Tier 2+,3572,3.44,685.0
Indore,Tier 2+,3085,3.46,379.0
Nagpur,Tier 2+,2954,3.45,384.0
Kochi,Tier 2+,2685,3.46,401.0
Surat,Tier 2+,2648,3.48,330.0
Vadodara,Tier 2+,2639,3.47,344.0
Coimbatore,Tier 2+,2549,3.46,339.0
Ludhiana,Tier 2+,2304,3.45,385.0
Bhopal,Tier 2+,2131,3.45,358.0
