cuisine,restaurant_count,avg_rating,avg_cost
European,601,4.09,1697.0
Sushi,139,4.07,1508.0
Mediterranean,371,4.03,1560.0
Vietnamese,73,4.0,1416.0
Japanese,369,4.0,1708.0
Malaysian,98,3.99,1213.0
Modern Indian,223,3.96,1308.0
Steak,98,3.94,972.0
Asian,1461,3.94,1227.0
Korean,93,3.93,1250.0
Parsi,67,3.91,841.0
French,100,3.87,1313.0
American,867,3.87,956.0
Severoindická,86,3.85,
Mexican,1031,3.84,884.0
Thai,1312,3.82,1044.0
Turkish,51,3.81,846.0
Bar Food,216,3.81,1483.0
Čínska,66,3.79,
Burmese,85,3.78,738.0
