city_clean,cuisine,count,avg_rating
Bengaluru,North Indian,7833,3.59
Bengaluru,Chinese,5718,3.55
Bengaluru,Fast Food,4091,3.56
Bengaluru,South Indian,3814,3.57
Bengaluru,Biryani,2867,3.57
Delhi NCR,North Indian,18011,3.5
Delhi NCR,Chinese,11081,3.51
Delhi NCR,Fast Food,9549,3.52
Delhi NCR,South Indian,2114,3.47
Delhi NCR,Biryani,2041,3.56
Hyderabad,North Indian,3699,3.46
Hyderabad,Chinese,3331,3.43
Hyderabad,Fast Food,2624,3.41
Hyderabad,South Indian,2077,3.4
Hyderabad,Biryani,1489,3.41
Mumbai,North Indian,9455,3.49
Mumbai,Chinese,9071,3.45
Mumbai,Fast Food,7524,3.47
Mumbai,South Indian,2254,3.43
Mumbai,Biryani,1487,3.57
Pune,North Indian,6573,3.43
Pune,Chinese,4396,3.38
Pune,Fast Food,4028,3.43
Pune,South Indian,1333,3.37
Pune,Biryani,1319,3.43
